epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9046,1.46304,4.62855,3.47257,1.65909,0.00515,0.82124,0.07084,0.0234,0.00378,0.66193,0.03063,0.01078,1.25836,3.31659,3.75494,1.58401,8.574e-05,8.574e-05,8.574e-05
2,102.652,1.32324,3.61072,3.17827,1.55834,0.00601,0.8568,0.15805,0.06632,0.00504,0.70744,0.06108,0.03228,1.19151,3.10234,3.69715,1.50028,0.000148988,0.000148988,0.000148988
3,156.916,1.25687,3.42071,2.83325,1.54928,0.00665,0.85728,0.20639,0.10211,0.00582,0.75154,0.11845,0.05751,1.14983,3.19133,3.62104,1.47696,0.000172623,0.000172623,0.000172623
4,210.56,1.2811,3.39766,2.78273,1.56859,0.00659,0.8568,0.19011,0.10282,0.00553,0.71598,0.12593,0.06114,1.09011,2.98264,3.57769,1.4627,0.000156647,0.000156647,0.000156647
5,262.897,1.18565,3.16343,2.62523,1.49405,0.00645,0.83073,0.20335,0.1199,0.00542,0.71598,0.14689,0.07251,1.05096,2.7528,3.48451,1.41917,0.000101059,0.000101059,0.000101059
