epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.2546,1.46304,4.62855,3.47257,1.65909,0.00515,0.82124,0.07084,0.0234,0.00378,0.66193,0.03063,0.01078,1.25836,3.31659,3.75494,1.58401,8.574e-05,8.574e-05,8.574e-05
2,121.992,1.32324,3.61072,3.17827,1.55834,0.00601,0.8568,0.15787,0.06625,0.00504,0.70744,0.06109,0.03228,1.19154,3.10232,3.69715,1.50031,0.000148988,0.000148988,0.000148988
3,191.707,1.25678,3.42071,2.83327,1.54926,0.00666,0.85728,0.20641,0.10205,0.00583,0.75154,0.11839,0.05742,1.1499,3.19337,3.62098,1.47686,0.000172623,0.000172623,0.000172623
